iter	RMSE
0	13.67085026
1	13.22328615
2	12.77857087
3	12.39742845
4	12.00749105
5	11.63934187
6	11.25116186
7	10.89469173
8	10.52934278
9	10.19654335
10	9.890102642
11	9.584753035
12	9.287995246
13	8.977400984
14	8.717329224
15	8.432969971
16	8.157484494
17	7.902688183
18	7.664907086
19	7.415933872
20	7.193062579
21	6.981409388
22	6.761285802
23	6.56346412
24	6.362997545
25	6.18029915
26	6.003810476
27	5.824192441
28	5.641547111
29	5.476617605
30	5.310724582
31	5.15137436
32	5.011312284
33	4.87462588
34	4.756976898
35	4.612390258
36	4.474506502
37	4.346089632
38	4.221973117
39	4.094855036
40	3.969491448
41	3.863443964
42	3.757965954
43	3.656947119
44	3.544710583
45	3.446274469
46	3.354387582
47	3.257540199
48	3.165374008
49	3.070716799
50	2.982446426
51	2.899543713
52	2.817772955
53	2.740006064
54	2.660769642
55	2.58455765
56	2.513906142
57	2.447339228
58	2.376938493
59	2.315588099
60	2.253996839
61	2.193508443
62	2.133707661
63	2.07712916
64	2.029346395
65	1.977930311
66	1.93077169
67	1.888902895
68	1.838886793
69	1.792021537
70	1.751016914
71	1.710142228
72	1.670110475
73	1.628377706
74	1.589928736
75	1.550967459
76	1.514277862
77	1.476993523
78	1.442674346
79	1.40923502
80	1.380740341
81	1.351919817
82	1.325571195
83	1.295308133
84	1.268508557
85	1.239561827
86	1.21253271
87	1.1865872
88	1.161391266
89	1.139168502
90	1.11667883
91	1.094518179
92	1.074211676
93	1.054052014
94	1.03667196
95	1.018398185
96	1.001360206
97	0.9842402042
98	0.9650419026
99	0.9468406173
100	0.932695317
101	0.9168685033
102	0.9004452118
103	0.8841320004
104	0.8689887073
105	0.8558372467
106	0.8446854291
107	0.8293266154
108	0.8165561747
109	0.8047820374
110	0.7919688763
111	0.7803561735
112	0.769370738
113	0.7587335359
114	0.7489239178
115	0.738584024
116	0.7289456338
117	0.718751936
118	0.7103069732
119	0.7016138455
120	0.6941854463
121	0.6857643996
122	0.6784421537
123	0.670310217
124	0.6633980712
125	0.6565371577
126	0.6492005956
127	0.6429537783
128	0.6366806279
129	0.6306960817
130	0.6244475688
131	0.6188223623
132	0.6130209007
133	0.6073638121
134	0.6022027744
135	0.5970807712
136	0.5929670275
137	0.5887833391
138	0.5845584564
139	0.5785851167
140	0.5745884373
141	0.5709771468
142	0.5667239284
143	0.5622681748
144	0.5608753698
145	0.5580212826
146	0.554190141
147	0.5501898874
148	0.5466036589
149	0.5450432286
150	0.5418928144
151	0.5382971092
152	0.533537105
153	0.5301362972
154	0.5270626652
155	0.5255741338
156	0.524617351
157	0.5229686632
158	0.5200896558
159	0.5189157811
160	0.5163744835
161	0.5152784114
162	0.5131337116
163	0.5121021864
164	0.5110067102
165	0.5102464237
166	0.5074963148
167	0.5048536562
168	0.5036408934
169	0.5022901458
170	0.4999799397
171	0.4977895149
172	0.4946584964
173	0.4932265392
174	0.4924435354
175	0.4892728207
176	0.4884468606
177	0.487647065
178	0.486869602
179	0.4860448891
180	0.4852655534
181	0.4844847025
182	0.4836267428
183	0.4806106303
184	0.4793677017
185	0.4776557924
186	0.4760922175
187	0.4753975315
188	0.4735069007
189	0.4722895055
190	0.4693631438
191	0.4667678804
192	0.4659809376
193	0.4653820531
194	0.4626807873
195	0.4613478125
196	0.4604094487
197	0.4597389155
198	0.4588988465
199	0.4583296584
200	0.4577391975
201	0.4569477423
202	0.4563141013
203	0.4557805342
204	0.4552908043
205	0.4528098981
206	0.4505047786
207	0.4486597027
208	0.4477989085
209	0.4454387875
210	0.4450663035
211	0.4445047466
212	0.4440669527
213	0.4435307767
214	0.4431372005
215	0.4426244126
216	0.4402260718
217	0.4398127688
218	0.4393850569
219	0.4371072817
220	0.4366442659
221	0.4349311935
222	0.4345851654
223	0.432475044
224	0.4320968284
225	0.4317275575
226	0.4314110012
227	0.4310110791
228	0.4286142819
229	0.4273573111
230	0.4270683715
231	0.4267129499
232	0.4263673505
233	0.4247590413
234	0.4244160424
235	0.423134791
236	0.4211868451
237	0.4205753843
238	0.4202924226
239	0.4197215096
240	0.4180491691
241	0.417781862
242	0.4158774519
243	0.4142336364
244	0.4130729187
245	0.4120523111
246	0.4105972897
247	0.4103524013
248	0.4091679348
249	0.4089327672
250	0.4086748282
251	0.4069923076
252	0.4055932829
253	0.4053287735
254	0.4050723452
255	0.4048237088
256	0.4032083143
257	0.4020886258
258	0.4011310013
259	0.3996945936
260	0.3980270161
261	0.3969436412
262	0.3967573303
263	0.3964248678
264	0.3958388198
265	0.3948769895
266	0.3947054954
267	0.3944161254
268	0.3930368261
269	0.3921590921
270	0.3906406945
271	0.3904554556
