iter	Passed	Remaining
0	138	138153
1	140	70339
2	143	47786
3	146	36457
4	149	29720
5	152	25206
6	154	21985
7	157	19551
8	160	17649
9	163	16165
10	165	14880
11	167	13780
12	169	12851
13	170	12041
14	172	11325
15	173	10693
16	175	10172
17	177	9677
18	178	9223
19	179	8810
20	180	8436
21	181	8088
22	183	7778
23	184	7487
24	185	7217
25	186	6972
26	187	6744
27	188	6531
28	189	6335
29	190	6144
30	190	5968
31	191	5802
32	192	5646
33	193	5499
34	194	5362
35	195	5230
36	196	5102
37	196	4982
38	197	4868
39	198	4759
40	199	4655
41	199	4557
42	200	4463
43	201	4374
44	202	4287
45	202	4204
46	203	4128
47	204	4051
48	204	3978
49	205	3907
50	206	3839
51	207	3774
52	207	3711
53	208	3650
54	208	3590
55	209	3533
56	210	3478
57	210	3424
58	211	3373
59	212	3323
60	212	3275
61	213	3228
62	214	3183
63	214	3139
64	215	3097
65	215	3056
66	216	3016
67	217	2976
68	217	2939
69	218	2902
70	219	2866
71	219	2832
72	220	2798
73	221	2765
74	221	2733
75	222	2702
76	222	2672
77	223	2642
78	224	2614
79	224	2585
80	225	2558
81	226	2530
82	226	2504
83	227	2478
84	227	2453
85	228	2429
86	229	2406
87	229	2383
88	230	2360
89	231	2339
90	232	2318
91	232	2296
92	233	2275
93	233	2255
94	234	2235
95	235	2215
96	235	2195
97	236	2176
98	237	2158
99	237	2140
100	238	2123
101	239	2105
102	239	2089
103	240	2072
104	241	2055
105	241	2039
106	242	2024
107	243	2008
108	243	1992
109	244	1978
110	245	1963
111	245	1948
112	246	1933
113	247	1919
114	247	1905
115	248	1891
116	248	1878
117	249	1864
118	250	1851
119	250	1838
120	251	1825
121	251	1813
122	252	1800
123	253	1788
124	253	1776
125	254	1765
126	255	1753
127	255	1741
128	256	1730
129	256	1719
130	257	1708
131	258	1697
132	259	1690
133	260	1680
134	260	1670
135	261	1660
136	262	1650
137	262	1640
138	263	1630
139	263	1621
140	264	1611
141	265	1602
142	265	1593
143	266	1584
144	267	1575
145	267	1565
146	268	1557
147	268	1548
148	269	1540
149	270	1531
150	270	1523
151	271	1514
152	272	1506
153	272	1499
154	273	1491
155	273	1482
156	274	1473
157	274	1465
158	275	1457
159	276	1450
160	276	1442
161	277	1434
162	277	1426
163	278	1418
164	278	1410
165	279	1402
166	279	1395
167	280	1388
168	280	1380
169	281	1373
170	281	1366
171	282	1360
172	283	1353
173	283	1347
174	284	1340
175	284	1333
176	285	1327
177	285	1320
178	286	1313
179	287	1307
180	287	1301
181	288	1295
182	288	1289
183	289	1283
184	290	1277
185	290	1272
186	291	1266
187	291	1260
188	292	1254
189	293	1249
190	293	1243
191	294	1238
192	294	1231
193	294	1225
194	295	1220
195	296	1214
196	296	1209
197	297	1204
198	298	1199
199	298	1193
200	299	1188
201	299	1183
202	300	1179
203	300	1174
204	301	1168
205	301	1163
206	302	1159
207	303	1154
208	303	1149
209	304	1145
210	304	1139
211	305	1134
212	305	1129
213	306	1124
214	306	1119
215	306	1113
216	307	1109
217	308	1104
218	308	1099
219	308	1095
220	309	1090
221	309	1086
222	310	1081
223	310	1077
224	311	1072
225	311	1067
226	311	1062
227	312	1057
228	312	1053
229	313	1049
230	313	1045
231	314	1040
232	314	1035
233	315	1032
234	315	1028
235	316	1024
236	317	1021
237	317	1017
238	318	1013
239	318	1008
240	319	1005
241	319	1000
242	320	997
243	320	993
244	321	990
245	322	986
246	322	983
247	323	979
248	323	976
249	323	971
250	324	967
251	324	964
252	325	961
253	325	957
254	326	952
255	326	948
256	327	945
257	327	942
258	328	939
259	329	936
260	329	933
261	330	930
262	330	926
263	331	923
264	331	920
265	332	917
266	332	913
267	333	909
268	333	906
269	334	903
270	334	900
271	335	897
272	335	894
273	336	891
274	336	888
275	337	885
276	338	882
277	338	879
278	339	876
279	339	873
280	340	870
281	340	868
282	341	864
283	341	861
284	342	858
285	342	855
286	343	853
287	343	850
288	344	847
289	344	844
290	345	841
291	345	838
292	346	835
293	346	832
294	347	830
295	347	827
296	348	825
297	349	822
298	349	820
299	350	817
300	351	815
301	351	812
302	352	810
303	352	808
304	353	805
305	354	803
306	354	800
307	355	798
308	356	796
309	356	794
310	357	792
311	358	789
312	358	787
313	359	785
314	360	783
315	360	780
316	361	778
317	361	776
318	362	774
319	363	771
320	363	769
321	364	767
322	365	765
323	365	763
324	366	760
325	367	758
326	367	756
327	368	754
328	368	751
329	369	749
330	369	747
331	370	746
332	371	744
333	372	742
334	373	740
335	373	739
336	374	737
337	375	735
338	376	733
339	377	731
340	377	730
341	378	728
342	379	726
343	379	724
344	380	721
345	380	719
346	381	717
347	381	715
348	382	713
349	383	711
350	383	709
351	384	707
352	385	705
353	385	704
354	386	702
355	387	700
356	387	698
357	388	696
358	388	694
359	389	692
360	390	690
361	390	688
362	391	686
363	392	685
364	392	683
365	393	681
366	393	679
367	394	677
368	395	675
369	395	674
370	396	672
371	397	670
372	397	668
373	398	667
374	399	665
375	399	663
376	400	661
377	401	660
378	401	658
379	402	656
380	403	654
381	403	653
382	404	651
383	405	649
384	405	648
385	406	646
386	407	644
387	407	642
388	408	641
389	408	639
390	409	637
391	410	636
392	410	634
393	411	632
394	412	631
395	412	629
396	413	627
397	414	626
398	414	624
399	415	622
400	415	621
401	416	619
402	417	618
403	417	616
404	418	614
405	419	613
406	419	611
407	420	610
408	421	608
409	421	606
410	422	605
411	423	603
412	423	602
413	424	600
414	424	598
415	425	597
